CIDADE,ESTADO,LAVANDERIA,PERFIL,UNIDADE DE ATENDIMENTO,PREÇO A PARTIR DE,PREÇO ANUNCIADO,FRETE A PARTIR DE ,INSTALAÇÃO,PEDIDO MÍNIMO,POPULAÇÃO,STATUS,DDD,OBSERVAÇÕES
Campinas,SP,L03,P10,Mogi Guaçu/SP,"R$28,00","R$28,00","R$35,00","R$12,00",perguntar,1.213.792,inativa,19,
Campo Largo,PR,,P06,Piraquara/PR,"R$58,00","R$58,00","R$0,00","R$0,00","R$25,00",133.865,inativa,41,
Campo Magro,PR,,P06,Piraquara/PR,"R$58,00","R$58,00","R$0,00","R$0,00","R$25,00",30.151,inativa,41,
Campo Mourão,PR,,,Cianorte/PR,"R$25,00","R$25,00","R$15,00",,,95.488,fazer parceria,44,
Canelinha,SC,L01,P01,Tijucas/SC,"R$52,00","R$58,00","R$38,00","R$0,00","R$156,00",12.398,ativa,48,
Caraguatatuba,SP,L01,P05,São Paulo/SP (ABCDM e Litoral),"R$27,00","R$39,00","R$80,00","R$12,00","R$50,00",123.389,ativa,12,Acima de 2 clientes
Carambeí,PR,L01,P06,Ponta Grossa/PR,"R$36,00","R$40,00",R$2/km,"R$0,00","R$50,00",24.225,ativa,42,
Carapicuíba,SP,L01,"P08, P10, P16",Barueri/SP,"R$26,00","R$35,00","A partir de 8km do CEP 06447-190, acrescentar R$3,00 no m²","R$0,00",perguntar,403.183,ativa,11,
Carapicuíba,SP,L03,"P08, P10, P16",Osasco/SP,"R$50,00","R$56,00","R$0,00","R$0,00",perguntar,403.183,ativa,11,
Carapicuíba,SP,L02,"P08, P10, P16",São Paulo/SP (Oeste),"R$27,00","R$39,00","R$48,00","R$12,00","R$50,00",279.704,ativa,11,
Castro,PR,L01,P06,Ponta Grossa/PR,"R$36,00","R$40,00",R$2/km,"R$0,00","R$50,00",71.809,ativa,42,
